Control	Low	Moderate	High	PHI	Parameters
CP-2 (5)				+R	Justification to Select: Pursuant to the emergency mode operations plan and emergency access procedure mandated under HIPAA, this control is required for both provision of emergency services (a mission critical business function), and for protection of the security of PHI while operating in emergency mode. PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(7)(ii)(C); 45 C.F.R. §164.312(a)(2)(ii)
CP-2 (8)				+GR	Justification to Select: This control addresses the HIPAA Security Rule requirement to assess the relative criticality of specific applications and data to facilitate a risk-based contingency plan. PHI Supplemental Guidance: Under HIPAA, this is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Related Controls: RA-3, SI-12. PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(7)(ii)(E)
CP-4				+GR	Justification to Select: Contingency plan tests and exercises should include an evaluation of the ability to meet privacy requirements in a contingency scenario as well as corrective measures to address any privacy risks identified. PHI Supplemental Guidance: Under HIPAA, this is an addressable control. The decision to implement this control is dependent on a risk analysis to determine if or to what extent it should be applied within the organization. Related Controls: RA-3, SI-12. PHI Regulatory/Statutory Reference: 45 C.F.R. §164.308(a)(7)(ii)(D)
CP-7		GR	GR	GVR	Moderate and High PII Confidentiality Impact Level Supplemental Guidance: When an alternate processing site is used, administrative, physical and technical controls must be implemented to protect PII in accordance with the privacy risks identified. PHI Supplemental Guidance: When an alternate processing site is used, administrative, physical and technical controls must be implemented to protect PHI in accordance with the organization's risk analysis. PHI Parameter Value: … critical business processes for protection of the security of PHI… Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(e)(9), (e)(10), and (m)(1) PHI Regulatory/Statutory References: 45 C.F.R. §164.310(a)(2)(i); 45 C.F.R. §164.308(7)(ii)(C)
CP-9		+ER	+ER	+ER	Justification to Select: Backup copies of information need to be protected with the same level of security as if that information were being maintained on the original information system. Applicable controls necessary to achieve this and to protect confidentiality include encryption of the backup. Backing up information helps maintain the integrity of the data — a requirement of the Privacy Act and HIPAA. Moderate and High PII Confidentiality Impact Level Control Extension: Use the encryption methodology specified in SC-13 to encrypt moderate and high PII confidentiality impact level information in backups at the storage location. PHI Control Extension: Establish procedures that create a retrievable, exact copy of the PHI before any movement of information system equipment. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(e)(10); OMB Circular A-130, 7.g.; OMB M-06-16 PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(7)(ii)(A) – (C); 45 C.F.R. §164.310(d)(2)(iv); 45 C.F.R. §164.312(c)(1)
CP-10		+R	+R	+R	Justification to Select: Information system recovery and reconstitution is an important step to restoring both PII and PHI to an accurate state following execution of a contingency plan. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(e)(5) and (e)(10); OMB Circular A-130, 7.g. PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(7)(ii)(B); 45 C.F.R. §164.308(a)(7)(ii)(C)
IA-2	+R	+R	+R	+R	Justification to Select: Implementing this control ensures unique identification of individual's account, preventing anonymous access to PII and providing appropriate access (e.g., need for the PII in the performance of the users official duties) for organizational users. HIPAA requires that organizations uniquely identify users and implement procedures to verify user identity. Low, Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: 5 U.S.C. §552a(b) and (e)(10); OMB Circular A-130, 7.g. and 8.b(3)(b) PHI Regulatory/Statutory References: 45 C.F.R. §164.308(a)(5)(ii)(D); 45 C.F.R. §164.312(a)(2)(i); 45 C.F.R. §164.312(d);
IA-2 (6)		+GR	+GR		Justification to Select: Requiring multi-factor authentication to privileged accounts provides added assurance that a privileged user, who likely has elevated privileges with access to PII, has proven their identity during the authentication process. OMB Policy requires the use of two-factor authentication with one factor being separate from the computer itself. Multi-factor authentication provides heightened assurance of identity during the authentication process. OMB Policy requires the use of two-factor authentication with one factor being separate from the computer itself. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: A separate device would include a Common Access Card (CAC). This control is required when the network access is remote (from outside the organization controlled networks). Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB M-07-16, Att. 1, §C
IA-2 (7)		+GR	+GR		Justification to Select: Requiring multi-factor authentication to non-privileged accounts provides added assurance that a non-privileged user, who has access to PII, has proven their identity during the authentication process. OMB Policy requires the use of twofactor authentication with one factor being separate from the computer itself. Multifactor authentication provides heightened assurance of identity during the authentication process. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: This control is required for remote network access to information systems containing PII (from outside the organization controlled networks). A separate device could include a CAC. Privacy Overlay 58 Attachment 6 to Appendix F 04/20/2015 Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB M-07-16, Att. 1, § C
IA-2 (11)		+GR	+GR		Justification to Select: Required for remote access to PII. Multi-factor authentication provides heightened assurance of identity during the authentication process. OMB Policy requires the use of two-factor authentication with one factor being separate from the computer itself. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: A separate device could include a CAC. This control is required when the network access is remote (from outside the organization controlled networks). Related Control: SC-13. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory Reference: OMB M-07-16, Att. 1, § C
IA-3				+R	Justification to Select: Implementing this control ensures that un-authenticated devices, e.g., mobile devices and personal laptop computers, are not able to make a connection to an information system containing PHI. HIPAA requires technical policies and procedures for systems that maintain PHI to allow access only to those persons or software programs that have been granted access rights. PHI Regulatory/Statutory References: 45 C.F.R. §164.312(a)(1); 45 C.F.R. §164.312(d)
IA-4	+ER	+ER	+ER	+GR	Justification to Select: Identifiers are a critical and necessary function to confirm which people and devices are accessing PII. Using Social Security Numbers (SSNs) as identifiers may create the potential for unauthorized disclosure of the SSN, and linkage of that individual to other PII, as system identifiers are not protected with the same level of security as are database elements or passwords. In addition, collecting an individual's SSN may create notice requirements under the Privacy Act. Low, Moderate, and High PII Confidentiality Impact Level Control Extension: SSNs, and parts of SSNs, must not be used as system identifiers. Identifier management must ensure that any access to, or action involving, PII is attributable to a unique individual. PHI Supplemental Guidance: Identifier management must ensure that any access to, or action involving, PHI is attributable to a unique individual. Low, Moderate, and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a (note §§7(a)(1)), (b), (e)(10) and (j); 44 U.S.C. §3518(c)(1) PHI Regulatory/Statutory References: 45 C.F.R. § 164.308(a)(4); 45 C.F.R. §164.308(a)(5)(ii)(D); 45 C.F.R. §164.312(a)(2)(i); 45 C.F.R. §164.312(d)
IA-4 (3)		+GR	+GR		Justification to Select: Identity proofing requirements support agencies in confirming the identity of system users before granting them access to any system that contains PII. Moderate and High PII Confidentiality Impact Level Supplemental Guidance: Identity proofing registration process is mandatory for Federal Employees, Contractors, and Service Members. Moderate and High PII Confidentiality Impact Level Regulatory/Statutory References: 5 U.S.C. §552a(b) and (e)(10); Homeland Security Policy Directive (HSPD) No. 12; NIST FIPS 201-1
